,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,prediction
783,57,retired,married,tertiary,no,0,yes,yes,unknown,28,may,648,1,-1,0,unknown,yes,1.0
784,36,services,single,secondary,no,1482,yes,no,cellular,18,nov,177,2,174,1,other,no,1.0
785,42,blue-collar,married,secondary,no,3052,yes,no,unknown,27,may,32,1,-1,0,unknown,no,1.0
786,35,technician,divorced,secondary,no,56,no,no,cellular,29,aug,24,12,-1,0,unknown,no,0.0
787,52,entrepreneur,divorced,primary,no,278,yes,no,unknown,7,may,688,2,-1,0,unknown,no,1.0
788,36,management,single,tertiary,no,3875,yes,no,unknown,27,may,21,5,-1,0,unknown,no,1.0
789,46,technician,married,secondary,no,-337,yes,no,unknown,27,may,112,1,-1,0,unknown,no,0.0
790,60,management,divorced,tertiary,no,366,no,no,cellular,3,jun,593,1,-1,0,unknown,yes,1.0
791,57,housemaid,married,primary,no,501,yes,yes,cellular,7,aug,59,2,-1,0,unknown,no,0.0
792,48,management,married,tertiary,no,998,yes,no,cellular,29,jan,121,3,-1,0,unknown,no,0.0
793,59,self-employed,married,primary,no,0,yes,no,telephone,28,jul,97,2,-1,0,unknown,no,0.0
794,39,management,married,tertiary,no,246,no,no,cellular,11,aug,86,2,-1,0,unknown,no,0.0
795,44,blue-collar,married,secondary,no,-182,yes,yes,cellular,14,may,10,10,-1,0,unknown,no,0.0
796,27,management,single,tertiary,no,446,no,no,cellular,23,jun,205,3,-1,0,unknown,no,1.0
797,59,retired,married,secondary,no,1173,no,no,unknown,9,jun,77,2,-1,0,unknown,no,0.0
798,36,technician,divorced,secondary,no,5957,yes,no,cellular,18,nov,138,2,-1,0,unknown,no,1.0
799,44,admin.,married,secondary,no,205,no,no,cellular,3,nov,289,1,-1,0,unknown,yes,1.0
800,50,admin.,married,secondary,no,0,no,no,cellular,4,aug,86,4,-1,0,unknown,no,0.0
801,41,management,divorced,tertiary,no,369,yes,no,telephone,22,aug,9,3,-1,0,unknown,no,0.0
802,47,admin.,married,secondary,no,1934,no,yes,cellular,14,may,225,1,364,1,failure,no,1.0
803,32,technician,single,tertiary,no,259,no,no,cellular,22,jul,407,4,-1,0,unknown,no,1.0
804,38,blue-collar,married,secondary,no,284,yes,yes,unknown,3,jun,1030,6,-1,0,unknown,no,1.0
805,55,blue-collar,married,unknown,no,23,no,no,cellular,13,aug,123,2,-1,0,unknown,no,1.0
806,38,management,single,tertiary,no,1373,no,no,cellular,22,oct,119,4,-1,0,unknown,no,1.0
807,31,management,single,tertiary,no,62,yes,no,cellular,18,may,175,1,293,5,failure,no,1.0
808,38,blue-collar,divorced,secondary,no,157,no,no,unknown,9,jun,299,5,-1,0,unknown,no,1.0
809,29,unemployed,single,tertiary,no,991,no,no,cellular,5,feb,563,1,-1,0,unknown,no,0.0
810,55,services,married,secondary,no,186,yes,yes,unknown,9,may,241,1,-1,0,unknown,no,1.0
811,35,unemployed,married,secondary,no,977,yes,no,cellular,4,may,52,4,91,1,other,no,0.0
812,40,self-employed,single,tertiary,no,2893,no,no,cellular,2,jun,76,3,-1,0,unknown,no,0.0
813,34,blue-collar,married,secondary,no,1897,yes,yes,cellular,19,nov,441,1,-1,0,unknown,no,0.0
814,32,technician,single,tertiary,no,5514,no,no,cellular,22,apr,319,1,182,1,success,yes,1.0
815,33,blue-collar,married,secondary,no,889,yes,no,unknown,18,sep,13,1,373,6,success,no,1.0
816,33,management,married,tertiary,no,273,yes,no,unknown,16,may,803,1,-1,0,unknown,yes,1.0
817,37,admin.,married,secondary,no,1193,no,no,cellular,12,may,396,2,-1,0,unknown,no,1.0
818,58,management,married,tertiary,no,2729,no,no,unknown,18,jun,188,1,-1,0,unknown,no,1.0
819,36,admin.,single,secondary,no,0,no,no,cellular,20,apr,637,1,-1,0,unknown,no,1.0
820,42,blue-collar,married,secondary,no,230,yes,no,unknown,5,jun,175,7,-1,0,unknown,no,0.0
821,34,technician,single,secondary,no,2729,yes,no,cellular,6,apr,945,1,139,1,success,no,1.0
822,35,management,married,tertiary,no,317,yes,no,unknown,23,may,162,3,-1,0,unknown,no,0.0
823,60,housemaid,married,primary,no,517,no,no,unknown,12,jun,1178,3,-1,0,unknown,no,1.0
824,50,management,married,tertiary,no,-470,yes,no,cellular,8,may,506,2,170,3,failure,no,1.0
825,28,self-employed,single,tertiary,no,4579,no,no,cellular,12,jan,409,2,-1,0,unknown,yes,1.0
826,27,blue-collar,divorced,secondary,no,1,yes,no,cellular,14,jul,116,3,-1,0,unknown,no,0.0
827,37,management,married,tertiary,no,5106,no,no,cellular,30,apr,244,1,-1,0,unknown,yes,1.0
828,31,technician,married,tertiary,no,636,yes,no,cellular,4,may,352,4,-1,0,unknown,yes,1.0
829,34,services,married,secondary,no,1076,no,no,cellular,12,may,152,1,182,6,success,yes,1.0
830,38,management,married,tertiary,no,126,yes,no,unknown,21,may,164,2,-1,0,unknown,no,0.0
831,32,self-employed,married,secondary,no,-33,yes,no,unknown,28,may,234,3,-1,0,unknown,no,0.0
832,37,technician,married,secondary,no,430,no,no,cellular,27,aug,154,4,-1,0,unknown,no,0.0
833,33,admin.,married,secondary,no,-6,yes,no,unknown,7,may,566,2,-1,0,unknown,no,1.0
834,71,technician,married,tertiary,no,383,no,no,cellular,27,oct,327,2,183,3,success,no,1.0
835,27,technician,married,secondary,no,130,yes,no,cellular,7,may,265,3,-1,0,unknown,no,1.0
836,38,blue-collar,married,primary,no,2569,no,no,unknown,9,jun,172,1,-1,0,unknown,no,1.0
837,34,technician,single,secondary,no,201,no,no,cellular,22,jul,257,2,-1,0,unknown,no,1.0
838,54,retired,divorced,tertiary,no,0,no,no,unknown,13,may,618,1,-1,0,unknown,yes,1.0
839,30,blue-collar,married,secondary,no,6,yes,no,cellular,28,jan,241,3,-1,0,unknown,no,0.0
840,35,entrepreneur,single,secondary,no,475,no,yes,cellular,21,jul,936,4,-1,0,unknown,no,1.0
841,33,blue-collar,single,secondary,no,706,yes,no,cellular,7,apr,329,1,322,1,failure,no,1.0
842,36,management,married,secondary,no,1825,yes,no,cellular,14,may,24,1,346,1,failure,no,1.0
843,59,self-employed,married,tertiary,no,185,no,no,cellular,22,jun,177,5,138,1,failure,no,0.0
844,72,blue-collar,married,primary,no,4415,no,no,telephone,13,oct,120,1,-1,0,unknown,no,1.0
845,64,management,married,tertiary,no,679,no,no,telephone,22,apr,135,3,-1,0,unknown,no,1.0
846,53,technician,divorced,secondary,no,320,no,no,cellular,9,jul,175,1,-1,0,unknown,no,1.0
847,35,management,single,tertiary,no,2988,yes,no,cellular,25,may,179,1,-1,0,unknown,no,1.0
848,58,self-employed,married,secondary,no,1407,yes,no,unknown,30,may,58,1,-1,0,unknown,no,1.0
849,40,technician,married,secondary,no,1270,no,no,cellular,17,apr,342,2,-1,0,unknown,no,1.0
850,41,services,divorced,secondary,no,654,yes,no,cellular,13,may,139,2,-1,0,unknown,no,1.0
851,48,retired,married,primary,no,5173,yes,no,unknown,18,jun,88,8,-1,0,unknown,no,0.0
852,44,entrepreneur,married,tertiary,no,3463,yes,yes,cellular,28,aug,210,3,-1,0,unknown,no,0.0
853,39,blue-collar,married,unknown,no,0,no,no,cellular,2,feb,731,1,193,3,failure,no,0.0
854,61,management,married,tertiary,no,6016,no,no,cellular,2,feb,670,3,-1,0,unknown,yes,0.0
855,36,entrepreneur,married,primary,no,177,yes,no,unknown,12,may,63,5,-1,0,unknown,no,0.0
856,28,management,married,tertiary,no,3694,no,yes,cellular,8,jul,70,2,-1,0,unknown,no,0.0
857,58,retired,single,secondary,no,1640,no,yes,cellular,4,feb,72,6,274,4,failure,no,0.0
858,60,admin.,divorced,secondary,no,174,yes,no,cellular,15,may,241,1,364,1,failure,no,1.0
859,66,admin.,single,secondary,no,10177,no,no,cellular,5,may,272,4,-1,0,unknown,no,1.0
860,36,management,single,tertiary,no,490,no,no,cellular,28,aug,207,8,98,1,failure,yes,0.0
861,49,self-employed,married,secondary,no,2576,yes,no,cellular,15,may,64,6,-1,0,unknown,no,0.0
862,40,services,married,secondary,no,0,no,no,unknown,12,jun,543,2,-1,0,unknown,no,1.0
863,23,technician,single,secondary,no,598,no,no,cellular,30,apr,166,1,-1,0,unknown,no,1.0
864,29,management,single,tertiary,no,15459,no,no,cellular,26,may,245,3,97,7,success,no,1.0
865,44,blue-collar,married,primary,no,271,yes,yes,unknown,9,may,94,1,-1,0,unknown,no,0.0
866,54,unknown,married,unknown,no,2508,no,no,unknown,20,jun,34,8,-1,0,unknown,no,0.0
867,47,blue-collar,married,primary,no,320,no,no,telephone,30,jul,203,2,-1,0,unknown,no,1.0
868,33,admin.,married,tertiary,no,640,no,no,cellular,24,jul,318,1,-1,0,unknown,no,1.0
869,30,self-employed,married,secondary,no,1772,yes,no,cellular,13,apr,158,4,-1,0,unknown,no,1.0
870,27,admin.,single,secondary,no,15,no,yes,cellular,21,jul,177,1,-1,0,unknown,no,0.0
871,49,management,divorced,tertiary,no,2370,yes,yes,unknown,17,nov,56,1,103,2,other,no,0.0
872,27,services,single,secondary,no,201,yes,no,unknown,4,jun,172,2,-1,0,unknown,no,1.0
873,51,blue-collar,married,secondary,no,160,yes,no,cellular,7,may,136,1,359,1,failure,no,1.0
874,32,admin.,divorced,secondary,yes,5,yes,yes,cellular,18,may,82,3,363,2,other,no,1.0
875,30,blue-collar,single,secondary,no,75,yes,no,unknown,16,may,123,1,-1,0,unknown,no,1.0
876,33,admin.,married,secondary,no,4902,yes,no,cellular,20,nov,110,1,-1,0,unknown,no,0.0
877,27,blue-collar,single,primary,no,-79,yes,no,unknown,30,may,385,5,-1,0,unknown,no,1.0
878,75,retired,divorced,secondary,no,1341,no,no,cellular,18,dec,415,7,-1,0,unknown,yes,1.0
879,37,services,divorced,secondary,no,490,yes,no,cellular,2,feb,73,1,-1,0,unknown,no,0.0
880,36,technician,single,secondary,no,1521,yes,no,unknown,16,jun,243,2,-1,0,unknown,no,1.0
881,37,blue-collar,married,secondary,no,131,yes,no,unknown,9,may,137,2,-1,0,unknown,no,0.0
882,35,management,married,tertiary,no,8,yes,no,unknown,23,may,55,4,-1,0,unknown,no,0.0
883,32,services,married,secondary,no,-632,yes,yes,cellular,20,apr,18,5,-1,0,unknown,no,1.0
884,32,admin.,single,secondary,no,116,no,yes,cellular,16,jul,255,2,-1,0,unknown,no,1.0
885,35,admin.,married,primary,no,189,yes,no,cellular,11,may,95,1,-1,0,unknown,no,1.0
886,31,blue-collar,married,primary,no,2,yes,yes,cellular,10,jul,112,1,-1,0,unknown,no,0.0
887,28,blue-collar,single,secondary,no,4229,yes,yes,cellular,5,may,205,2,-1,0,unknown,no,1.0
888,27,services,married,secondary,no,54,yes,no,cellular,18,may,97,1,370,1,failure,no,1.0
889,22,student,single,unknown,no,549,no,no,cellular,2,sep,154,1,-1,0,unknown,no,0.0
890,35,blue-collar,married,primary,no,298,yes,no,cellular,13,may,135,2,370,2,failure,no,1.0
891,69,retired,married,primary,no,579,no,no,cellular,14,aug,230,1,-1,0,unknown,no,1.0
892,37,entrepreneur,single,tertiary,no,1467,yes,yes,cellular,17,nov,349,1,-1,0,unknown,no,1.0
893,45,admin.,single,secondary,no,0,yes,no,cellular,8,may,38,1,-1,0,unknown,no,0.0
894,47,management,married,tertiary,no,109,yes,no,cellular,22,jul,268,1,-1,0,unknown,no,0.0
895,52,management,married,tertiary,no,-11,yes,no,cellular,11,may,94,4,-1,0,unknown,no,0.0
896,33,services,married,secondary,no,90,yes,no,cellular,28,jul,263,2,-1,0,unknown,no,0.0
897,60,blue-collar,married,primary,no,493,no,no,cellular,18,aug,671,4,-1,0,unknown,yes,1.0
898,33,management,divorced,secondary,no,1897,yes,yes,unknown,2,jun,197,1,-1,0,unknown,no,1.0
899,44,admin.,married,secondary,no,2403,yes,no,cellular,28,jan,180,2,-1,0,unknown,no,0.0
900,38,entrepreneur,married,secondary,no,868,no,no,cellular,20,nov,452,2,-1,0,unknown,no,0.0
901,54,entrepreneur,married,secondary,no,653,yes,no,unknown,15,may,352,1,-1,0,unknown,no,1.0
902,32,unemployed,divorced,primary,no,0,no,no,cellular,15,jul,175,4,-1,0,unknown,no,0.0
903,33,technician,married,secondary,no,0,yes,yes,cellular,19,nov,163,2,-1,0,unknown,no,0.0
904,55,services,divorced,secondary,no,218,yes,no,unknown,29,may,200,2,-1,0,unknown,no,0.0
905,51,blue-collar,married,primary,no,5050,no,yes,unknown,16,jun,75,7,-1,0,unknown,no,0.0
906,48,blue-collar,married,secondary,no,741,yes,no,cellular,16,apr,227,1,-1,0,unknown,no,1.0
907,37,services,single,secondary,no,1050,yes,no,cellular,3,feb,586,3,-1,0,unknown,no,0.0
908,33,services,single,secondary,no,-56,no,yes,cellular,10,jul,119,5,-1,0,unknown,no,0.0
909,30,blue-collar,married,primary,no,1,yes,yes,telephone,22,jul,80,2,-1,0,unknown,no,0.0
910,43,blue-collar,married,primary,no,-98,yes,yes,cellular,12,may,112,2,330,3,other,no,0.0
911,49,technician,married,secondary,no,4667,yes,no,unknown,19,may,130,2,-1,0,unknown,no,1.0
912,54,unemployed,married,primary,no,541,yes,no,cellular,3,feb,237,3,-1,0,unknown,no,0.0
913,31,unemployed,married,tertiary,no,7744,no,no,cellular,26,aug,377,8,-1,0,unknown,no,1.0
914,54,unknown,married,unknown,no,895,no,no,cellular,7,oct,335,1,-1,0,unknown,yes,1.0
915,36,unemployed,married,secondary,no,-129,yes,no,cellular,29,jul,121,3,-1,0,unknown,no,0.0
916,30,admin.,married,secondary,no,0,no,no,cellular,15,jul,127,5,-1,0,unknown,no,0.0
917,27,technician,single,secondary,no,158,no,no,unknown,1,jul,650,2,-1,0,unknown,yes,1.0
918,30,admin.,married,secondary,no,122,yes,no,unknown,16,may,107,1,-1,0,unknown,no,1.0
919,30,blue-collar,married,secondary,no,673,yes,no,unknown,20,may,610,2,-1,0,unknown,no,1.0
920,35,technician,divorced,secondary,no,0,no,no,cellular,25,aug,124,4,-1,0,unknown,no,0.0
921,33,services,divorced,secondary,no,411,yes,no,unknown,8,may,216,1,-1,0,unknown,no,1.0
922,43,blue-collar,divorced,primary,no,-97,yes,yes,cellular,31,jul,747,4,-1,0,unknown,no,1.0
923,41,blue-collar,married,secondary,no,-217,yes,no,cellular,11,may,313,1,349,3,other,no,1.0
924,41,management,divorced,tertiary,no,5037,no,no,cellular,23,apr,252,9,185,5,other,yes,1.0
925,46,admin.,divorced,secondary,no,2232,no,no,cellular,13,feb,121,1,-1,0,unknown,yes,1.0
926,54,blue-collar,married,secondary,no,-932,yes,no,unknown,7,may,799,1,-1,0,unknown,no,1.0
927,32,management,married,tertiary,no,913,yes,no,cellular,23,jun,883,1,674,4,failure,no,1.0
928,30,technician,single,tertiary,no,236,yes,no,unknown,16,may,197,1,-1,0,unknown,no,1.0
929,40,entrepreneur,married,primary,no,0,yes,no,cellular,11,jul,271,2,-1,0,unknown,no,1.0
930,30,blue-collar,married,primary,no,2581,no,no,unknown,12,may,221,2,-1,0,unknown,no,1.0
931,27,admin.,married,secondary,no,639,no,yes,cellular,14,jul,243,3,-1,0,unknown,no,1.0
932,41,blue-collar,married,primary,no,849,yes,no,unknown,15,may,72,1,-1,0,unknown,no,0.0
933,54,services,married,secondary,no,386,yes,no,cellular,2,aug,155,2,-1,0,unknown,no,0.0
934,32,management,single,tertiary,no,1218,yes,no,telephone,28,jan,70,2,-1,0,unknown,no,0.0
935,31,management,married,tertiary,no,2603,yes,no,cellular,11,feb,280,4,-1,0,unknown,yes,1.0
936,42,blue-collar,married,secondary,no,-921,yes,no,unknown,26,may,115,2,-1,0,unknown,no,0.0
937,48,admin.,married,primary,no,607,no,no,unknown,20,jun,29,2,-1,0,unknown,no,0.0
938,34,blue-collar,married,primary,no,79,yes,no,cellular,14,may,406,2,-1,0,unknown,no,1.0
939,55,technician,divorced,secondary,no,61,yes,yes,cellular,25,aug,113,3,-1,0,unknown,no,0.0
940,49,technician,married,secondary,no,1091,no,no,telephone,30,jul,47,2,-1,0,unknown,no,0.0
941,46,management,divorced,tertiary,no,743,no,no,unknown,5,jun,36,2,-1,0,unknown,no,0.0
942,47,entrepreneur,married,unknown,no,209,yes,no,unknown,6,may,135,2,-1,0,unknown,no,1.0
943,24,management,single,tertiary,no,172,no,no,cellular,3,jul,67,2,-1,0,unknown,no,1.0
944,58,entrepreneur,married,secondary,no,2,no,no,unknown,16,jun,684,1,-1,0,unknown,no,1.0
945,32,management,single,tertiary,no,41,no,no,cellular,21,aug,686,5,-1,0,unknown,yes,1.0
946,25,student,single,secondary,no,1116,yes,no,cellular,2,mar,170,3,-1,0,unknown,no,0.0
947,49,blue-collar,married,secondary,no,-55,no,no,unknown,17,jun,150,3,-1,0,unknown,no,0.0
948,59,retired,divorced,secondary,no,5845,no,no,cellular,14,may,1060,2,-1,0,unknown,yes,1.0
949,30,management,single,tertiary,no,329,yes,no,unknown,6,jun,122,16,-1,0,unknown,no,1.0
950,46,blue-collar,married,secondary,no,494,yes,no,unknown,26,may,724,1,-1,0,unknown,no,1.0
951,42,management,married,unknown,no,1519,no,no,cellular,19,oct,230,1,92,1,success,yes,1.0
952,37,entrepreneur,married,tertiary,no,2685,no,no,unknown,20,jun,187,2,-1,0,unknown,no,0.0
953,44,blue-collar,married,primary,no,-14,yes,yes,unknown,19,may,179,4,-1,0,unknown,no,0.0
954,49,services,married,secondary,no,5673,no,yes,cellular,4,aug,357,3,-1,0,unknown,no,1.0
955,41,blue-collar,married,secondary,no,1459,no,no,unknown,5,jun,82,1,-1,0,unknown,no,0.0
956,48,technician,married,tertiary,no,0,no,no,telephone,26,aug,176,15,-1,0,unknown,no,0.0
957,31,management,married,secondary,no,625,yes,no,cellular,7,apr,424,1,138,1,failure,no,1.0
958,37,student,married,unknown,no,0,no,no,unknown,18,jun,115,1,-1,0,unknown,no,0.0
959,51,services,married,secondary,no,867,yes,no,cellular,3,feb,177,2,211,3,failure,no,0.0
960,80,retired,married,secondary,no,8304,no,no,telephone,9,jun,712,1,64,12,failure,yes,1.0
961,32,management,single,tertiary,no,151,yes,no,unknown,6,may,118,1,-1,0,unknown,no,1.0
962,48,services,married,primary,yes,-583,yes,no,unknown,2,jun,25,7,-1,0,unknown,no,0.0
963,49,blue-collar,married,tertiary,no,1784,no,no,unknown,12,jun,753,1,-1,0,unknown,no,1.0
964,30,management,married,tertiary,no,3134,yes,no,cellular,17,jul,124,1,-1,0,unknown,no,0.0
965,27,self-employed,single,secondary,no,49,yes,no,cellular,30,jan,208,2,-1,0,unknown,no,0.0
966,34,technician,married,secondary,no,-346,no,no,cellular,13,aug,136,4,-1,0,unknown,no,0.0
967,49,management,married,secondary,no,1623,yes,no,cellular,19,nov,1081,2,-1,0,unknown,yes,1.0
968,48,management,married,tertiary,no,60,no,no,telephone,7,may,376,2,339,7,failure,no,1.0
969,40,services,married,secondary,no,17,no,no,cellular,4,jun,78,1,-1,0,unknown,no,0.0
970,38,blue-collar,married,secondary,no,2008,yes,no,cellular,18,nov,354,1,-1,0,unknown,no,1.0
971,46,blue-collar,married,primary,no,91,yes,no,cellular,6,may,29,1,356,2,failure,no,1.0
972,41,entrepreneur,married,tertiary,no,171,yes,no,cellular,19,nov,209,1,191,4,failure,no,0.0
973,28,management,single,tertiary,no,1027,yes,no,cellular,14,may,433,1,-1,0,unknown,no,1.0
974,51,services,married,unknown,no,5801,yes,no,unknown,29,may,147,2,-1,0,unknown,no,0.0
975,33,blue-collar,divorced,primary,no,142,yes,no,telephone,11,may,41,2,300,5,failure,no,0.0
976,26,management,single,tertiary,no,205,no,no,unknown,26,may,111,1,-1,0,unknown,no,1.0
977,34,admin.,single,secondary,no,852,no,no,cellular,14,apr,108,2,-1,0,unknown,no,1.0
978,27,blue-collar,married,secondary,yes,-584,yes,no,cellular,7,may,411,2,-1,0,unknown,no,1.0
979,42,self-employed,married,secondary,no,97,no,no,cellular,10,jul,108,2,-1,0,unknown,no,0.0
980,45,admin.,married,secondary,no,204,yes,no,cellular,3,jun,224,2,-1,0,unknown,yes,1.0
981,31,technician,single,secondary,no,628,yes,no,unknown,12,may,1083,2,-1,0,unknown,no,1.0
982,32,management,single,tertiary,no,311,no,no,unknown,12,may,757,2,-1,0,unknown,yes,1.0
983,39,blue-collar,married,primary,no,1564,no,no,unknown,17,jun,57,1,-1,0,unknown,no,0.0
984,26,blue-collar,single,secondary,no,856,yes,yes,cellular,30,jul,95,5,-1,0,unknown,no,1.0
985,40,management,single,tertiary,no,1509,no,no,cellular,15,mar,144,2,124,1,failure,no,1.0
986,52,services,married,secondary,no,-888,no,no,cellular,16,jul,135,1,-1,0,unknown,no,0.0
987,40,technician,single,tertiary,no,226,no,no,cellular,15,jan,176,2,-1,0,unknown,no,0.0
988,48,technician,married,secondary,no,127,no,yes,cellular,7,aug,524,5,-1,0,unknown,no,1.0
989,31,services,married,secondary,no,413,yes,no,unknown,13,may,65,1,-1,0,unknown,no,0.0
990,27,admin.,married,secondary,no,710,yes,yes,cellular,6,may,653,1,334,2,success,yes,1.0
991,47,technician,married,secondary,no,1233,yes,no,unknown,11,sep,91,1,100,2,other,yes,1.0
992,28,management,single,secondary,no,171,no,no,cellular,10,mar,93,1,-1,0,unknown,yes,1.0
993,40,management,divorced,tertiary,no,69,yes,no,cellular,6,may,503,2,280,2,failure,no,1.0
994,34,admin.,married,secondary,no,1499,yes,no,cellular,13,apr,186,1,327,2,failure,no,1.0
995,29,self-employed,married,tertiary,no,751,yes,no,unknown,23,may,121,2,-1,0,unknown,no,0.0
996,36,management,married,tertiary,no,61,no,yes,cellular,19,aug,452,2,-1,0,unknown,no,1.0
997,83,retired,married,primary,no,425,no,no,telephone,22,jun,883,1,140,1,failure,yes,1.0
998,55,services,divorced,primary,no,2923,yes,no,unknown,15,may,104,2,-1,0,unknown,no,0.0
999,43,management,divorced,tertiary,no,99,no,no,cellular,29,jan,24,3,-1,0,unknown,no,0.0
1000,23,student,single,secondary,no,1021,no,no,telephone,19,jun,79,9,-1,0,unknown,no,0.0
1001,44,technician,married,tertiary,no,1146,no,no,cellular,4,jul,178,2,-1,0,unknown,no,1.0
1002,58,blue-collar,married,primary,no,781,yes,no,cellular,15,may,74,2,-1,0,unknown,no,0.0
1003,29,admin.,single,secondary,no,1448,no,no,cellular,10,mar,217,1,184,7,other,no,1.0
1004,30,management,single,tertiary,no,604,no,yes,cellular,2,feb,475,1,-1,0,unknown,no,0.0
1005,29,admin.,single,secondary,no,-194,yes,no,cellular,7,may,127,1,-1,0,unknown,no,0.0
1006,41,technician,married,secondary,no,0,no,no,cellular,11,mar,101,1,-1,0,unknown,no,0.0
1007,35,housemaid,married,primary,no,0,yes,no,cellular,14,jul,340,3,-1,0,unknown,no,1.0
1008,31,technician,single,secondary,no,1014,yes,no,cellular,23,jul,158,4,-1,0,unknown,no,0.0
1009,27,admin.,single,tertiary,no,73,no,no,cellular,29,jan,242,1,-1,0,unknown,no,0.0
1010,47,services,married,secondary,no,2597,yes,no,unknown,16,may,323,1,-1,0,unknown,no,1.0
1011,53,self-employed,married,tertiary,no,2627,yes,yes,unknown,16,jun,18,30,-1,0,unknown,no,0.0
1012,34,management,married,tertiary,no,1906,yes,no,cellular,14,jul,68,3,-1,0,unknown,no,0.0
1013,34,blue-collar,married,primary,no,-319,yes,yes,cellular,9,jul,134,4,-1,0,unknown,no,0.0
1014,36,management,married,tertiary,no,-296,yes,no,cellular,14,may,113,3,-1,0,unknown,no,0.0
1015,40,technician,married,secondary,no,169,yes,no,cellular,18,aug,43,4,-1,0,unknown,no,0.0
1016,37,self-employed,single,tertiary,no,556,no,no,unknown,17,jun,200,2,-1,0,unknown,no,1.0
1017,65,retired,divorced,unknown,no,300,no,no,cellular,2,aug,245,2,-1,0,unknown,no,1.0
1018,53,technician,divorced,secondary,no,751,yes,no,unknown,16,may,343,4,-1,0,unknown,no,1.0
1019,28,technician,single,secondary,no,126,no,no,cellular,3,mar,229,1,-1,0,unknown,no,1.0
1020,33,technician,divorced,tertiary,no,-386,yes,no,unknown,23,may,530,1,-1,0,unknown,no,1.0
1021,56,blue-collar,married,primary,no,379,no,no,cellular,13,aug,58,5,-1,0,unknown,no,0.0
1022,45,self-employed,married,secondary,no,706,no,no,cellular,30,apr,78,2,176,1,success,no,1.0
1023,39,technician,married,secondary,no,9121,no,no,unknown,5,jun,147,1,-1,0,unknown,no,0.0
1024,28,management,single,tertiary,no,1466,yes,no,cellular,25,jul,40,1,-1,0,unknown,no,1.0
1025,36,blue-collar,married,primary,no,0,yes,no,cellular,18,nov,618,2,-1,0,unknown,no,1.0
1026,41,blue-collar,married,primary,no,951,yes,no,cellular,20,apr,23,4,-1,0,unknown,no,1.0
1027,46,admin.,married,secondary,no,368,no,no,cellular,20,aug,293,1,90,4,other,yes,1.0
1028,41,blue-collar,married,secondary,no,121,yes,no,cellular,13,may,16,6,176,5,other,no,0.0
1029,59,services,married,secondary,no,204,no,no,cellular,23,jul,286,2,-1,0,unknown,no,0.0
1030,24,admin.,married,secondary,no,299,yes,no,cellular,6,may,209,1,321,1,failure,no,1.0
1031,34,management,married,tertiary,no,4170,yes,no,unknown,21,may,935,1,-1,0,unknown,no,1.0
1032,40,blue-collar,married,primary,no,-335,yes,no,unknown,27,may,260,1,-1,0,unknown,no,0.0
1033,42,admin.,married,secondary,no,3165,yes,no,unknown,16,jun,298,4,-1,0,unknown,no,1.0
1034,50,services,married,secondary,no,254,yes,no,cellular,15,apr,397,2,337,1,failure,no,1.0
1035,25,management,single,tertiary,no,553,yes,no,cellular,17,sep,113,4,479,1,failure,no,1.0
1036,51,services,divorced,secondary,no,518,yes,no,telephone,17,nov,76,1,-1,0,unknown,no,0.0
1037,50,management,married,tertiary,no,85,no,yes,cellular,1,jun,141,1,-1,0,unknown,no,0.0
1038,37,blue-collar,married,unknown,no,603,yes,no,unknown,23,may,773,2,-1,0,unknown,no,1.0
1039,21,services,single,secondary,no,361,no,no,telephone,5,jun,329,1,95,1,other,no,1.0
1040,52,blue-collar,married,secondary,no,-98,yes,no,unknown,7,may,423,1,-1,0,unknown,no,1.0
1041,55,retired,married,primary,no,4424,no,no,cellular,5,aug,67,4,-1,0,unknown,no,0.0
1042,26,technician,single,secondary,no,2610,yes,yes,unknown,2,jun,626,1,-1,0,unknown,no,1.0
1043,38,technician,married,tertiary,no,3234,no,no,cellular,18,nov,578,2,-1,0,unknown,yes,1.0
1044,32,blue-collar,married,secondary,no,687,yes,no,unknown,9,may,61,1,-1,0,unknown,no,0.0
1045,31,blue-collar,married,secondary,no,631,yes,no,unknown,23,may,248,4,-1,0,unknown,no,0.0
1046,34,technician,single,secondary,no,341,no,yes,cellular,29,jan,136,1,262,3,failure,no,0.0
1047,33,technician,single,tertiary,no,316,no,no,cellular,21,aug,126,3,-1,0,unknown,no,0.0
1048,35,technician,married,secondary,no,2,no,no,telephone,28,jan,653,3,-1,0,unknown,no,0.0
1049,44,management,married,unknown,no,415,yes,no,telephone,14,may,7,7,-1,0,unknown,no,0.0
1050,48,management,divorced,tertiary,no,507,yes,no,cellular,9,apr,528,1,-1,0,unknown,no,1.0
1051,29,blue-collar,married,secondary,no,912,yes,no,cellular,13,may,785,1,-1,0,unknown,no,1.0
1052,50,management,married,tertiary,no,0,no,no,cellular,9,jul,243,5,-1,0,unknown,no,1.0
1053,37,blue-collar,married,primary,no,37,yes,no,cellular,13,may,24,2,362,1,other,no,0.0
1054,44,admin.,single,secondary,no,2524,no,no,unknown,19,jun,82,1,-1,0,unknown,no,1.0
1055,36,unemployed,single,tertiary,no,9019,yes,no,unknown,11,jun,952,3,-1,0,unknown,no,1.0
1056,49,blue-collar,divorced,unknown,no,39,yes,no,cellular,13,may,27,5,-1,0,unknown,no,0.0
